vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,19.155724,-22.07
1,144,573,44.744385,11.816203,19.376459,-23.34
2,265,578,44.716986,12.508507,18.837614,-26.86
3,387,583,44.685040,13.200039,16.268892,-24.74
4,509,590,44.648555,13.890682,17.058855,-19.00
5,630,597,44.607542,14.580319,18.151850,-18.91
6,27,482,45.259591,11.152480,19.733395,-18.81
7,150,486,45.236517,11.851905,20.742283,-23.60
8,273,491,45.208842,12.550657,20.548174,-24.11
9,396,497,45.176574,13.248614,20.396624,-22.28
10,518,503,45.139723,13.945657,19.285200,-19.35
11,641,511,45.098298,14.641667,18.348183,-15.58
12,32,396,45.752281,11.182268,21.040562,-13.29
13,156,400,45.728973,11.888281,22.491125,-18.98
14,280,405,45.701019,12.593601,22.412565,-22.48
15,404,410,45.668426,13.298104,22.698689,-21.13
16,528,417,45.631204,14.001667,20.530005,-18.14
17,652,424,45.589362,14.704167,20.286129,-12.32
18,37,309,46.245263,11.212625,22.823397,-13.47
19,163,313,46.221720,11.925350,23.689791,-16.48
20,288,318,46.193484,12.637363,23.992680,-20.02
21,413,324,46.160561,13.348535,23.198784,-20.89
22,538,330,46.122963,14.058739,23.323786,-19.52
23,663,338,46.080699,14.767850,22.256693,-13.98
24,43,222,46.738506,11.243565,23.847767,-9.37
25,170,226,46.714724,11.963132,23.007715,-14.89
26,296,231,46.686201,12.681965,24.262039,-17.62
27,422,237,46.652946,13.399932,24.474346,-21.47
28,549,244,46.614967,14.116905,24.515196,-18.98
29,675,251,46.572277,14.832752,23.658766,-16.05
30,48,135,47.231974,11.275108,26.252787,-3.78
31,176,139,47.207951,12.001647,25.335894,-9.09
32,304,144,47.179138,12.727432,26.184589,-11.11
33,432,150,47.145545,13.452326,27.190571,-14.76
34,559,157,47.107182,14.176196,26.643692,-18.36
35,686,165,47.064059,14.898907,24.312525,-11.34
36,54,48,47.725632,11.307269,28.323301,-4.78
37,183,53,47.701364,12.040918,28.424553,-7.12
38,312,58,47.672259,12.773790,28.166677,-11.25
39,441,64,47.638324,13.505744,28.184784,-14.73
40,570,70,47.599571,14.236644,26.918940,-13.67
41,698,78,47.556010,14.966352,25.575396,-9.68
