vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,37.660782,73.62
1,144,573,44.744385,11.816203,35.745930,76.07
2,265,578,44.716986,12.508507,34.506111,79.95
3,387,583,44.685040,13.200039,34.140472,75.67
4,509,590,44.648555,13.890682,30.739754,70.04
5,630,597,44.607542,14.580319,29.718414,61.94
6,27,482,45.259591,11.152480,39.246494,74.40
7,150,486,45.236517,11.851905,36.482368,76.78
8,273,491,45.208842,12.550657,34.658672,76.81
9,396,497,45.176574,13.248614,35.812611,75.31
10,518,503,45.139723,13.945657,32.606503,66.58
11,641,511,45.098298,14.641667,31.219244,63.84
12,32,396,45.752281,11.182268,38.471840,71.78
13,156,400,45.728973,11.888281,37.813152,75.26
14,280,405,45.701019,12.593601,35.065121,78.09
15,404,410,45.668426,13.298104,36.402161,75.77
16,528,417,45.631204,14.001667,33.281033,67.36
17,652,424,45.589362,14.704167,29.847691,67.68
18,37,309,46.245263,11.212625,39.198223,71.79
19,163,313,46.221720,11.925350,37.621044,76.58
20,288,318,46.193484,12.637363,37.071918,77.61
21,413,324,46.160561,13.348535,37.339191,77.39
22,538,330,46.122963,14.058739,32.875996,68.86
23,663,338,46.080699,14.767850,30.982906,68.71
24,43,222,46.738506,11.243565,38.608337,72.39
25,170,226,46.714724,11.963132,38.898426,77.35
26,296,231,46.686201,12.681965,37.567272,77.64
27,422,237,46.652946,13.399932,35.152489,77.43
28,549,244,46.614967,14.116905,32.589474,71.02
29,675,251,46.572277,14.832752,30.810076,69.41
30,48,135,47.231974,11.275108,37.982403,76.30
31,176,139,47.207951,12.001647,37.738132,77.36
32,304,144,47.179138,12.727432,34.624729,75.28
33,432,150,47.145545,13.452326,34.288506,74.57
34,559,157,47.107182,14.176196,32.770645,70.53
35,686,165,47.064059,14.898907,27.846462,72.33
36,54,48,47.725632,11.307269,40.075203,78.27
37,183,53,47.701364,12.040918,38.726963,76.27
38,312,58,47.672259,12.773790,37.090450,77.48
39,441,64,47.638324,13.505744,35.630177,73.60
40,570,70,47.599571,14.236644,30.121323,75.03
41,698,78,47.556010,14.966352,25.772587,66.19
