vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,32.256741,-35.46
1,144,573,44.744385,11.816203,26.946911,-32.14
2,265,578,44.716986,12.508507,21.577923,-26.36
3,387,583,44.685040,13.200039,16.491697,-14.46
4,509,590,44.648555,13.890682,13.377939,6.65
5,630,597,44.607542,14.580319,14.647131,39.43
6,27,482,45.259591,11.152480,29.542118,-33.77
7,150,486,45.236517,11.851905,25.081320,-30.79
8,273,491,45.208842,12.550657,19.747997,-25.47
9,396,497,45.176574,13.248614,15.221645,-11.15
10,518,503,45.139723,13.945657,11.544580,16.36
11,641,511,45.098298,14.641667,15.610291,65.25
12,32,396,45.752281,11.182268,26.831623,-29.38
13,156,400,45.728973,11.888281,23.227163,-26.85
14,280,405,45.701019,12.593601,18.212685,-19.91
15,404,410,45.668426,13.298104,14.376921,-1.78
16,528,417,45.631204,14.001667,11.178169,46.86
17,652,424,45.589362,14.704167,23.258596,83.39
18,37,309,46.245263,11.212625,24.057325,-23.77
19,163,313,46.221720,11.925350,21.019875,-19.95
20,288,318,46.193484,12.637363,17.566286,-12.18
21,413,324,46.160561,13.348535,13.079144,9.14
22,538,330,46.122963,14.058739,18.475012,73.36
23,663,338,46.080699,14.767850,26.069613,86.13
24,43,222,46.738506,11.243565,20.145756,-21.66
25,170,226,46.714724,11.963132,18.719374,-15.48
26,296,231,46.686201,12.681965,15.510023,-3.72
27,422,237,46.652946,13.399932,11.206093,26.08
28,549,244,46.614967,14.116905,21.793739,77.22
29,675,251,46.572277,14.832752,32.414665,90.67
30,48,135,47.231974,11.275108,19.611092,-17.53
31,176,139,47.207951,12.001647,16.839567,-9.05
32,304,144,47.179138,12.727432,13.660810,4.54
33,432,150,47.145545,13.452326,12.233561,46.82
34,559,157,47.107182,14.176196,25.358412,83.35
35,686,165,47.064059,14.898907,37.326008,92.60
36,54,48,47.725632,11.307269,16.815182,-12.12
37,183,53,47.701364,12.040918,15.252097,-4.99
38,312,58,47.672259,12.773790,13.230609,15.16
39,441,64,47.638324,13.505744,17.181662,67.04
40,570,70,47.599571,14.236644,29.702703,85.10
41,698,78,47.556010,14.966352,38.574272,92.07
