vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,24.883263,-66.81
1,144,573,44.744385,11.816203,24.723717,-72.94
2,265,578,44.716986,12.508507,24.164520,-73.78
3,387,583,44.685040,13.200039,23.112925,-74.85
4,509,590,44.648555,13.890682,16.092203,-56.42
5,630,597,44.607542,14.580319,14.111438,-35.79
6,27,482,45.259591,11.152480,24.583488,-62.34
7,150,486,45.236517,11.851905,24.643702,-67.05
8,273,491,45.208842,12.550657,24.519997,-69.54
9,396,497,45.176574,13.248614,23.011057,-68.55
10,518,503,45.139723,13.945657,19.692663,-62.96
11,641,511,45.098298,14.641667,15.264612,-44.38
12,32,396,45.752281,11.182268,23.484825,-59.66
13,156,400,45.728973,11.888281,24.601959,-62.13
14,280,405,45.701019,12.593601,24.116961,-63.43
15,404,410,45.668426,13.298104,23.261791,-61.79
16,528,417,45.631204,14.001667,21.450811,-62.45
17,652,424,45.589362,14.704167,16.754236,-51.30
18,37,309,46.245263,11.212625,23.273212,-56.59
19,163,313,46.221720,11.925350,23.783155,-57.99
20,288,318,46.193484,12.637363,24.311907,-59.67
21,413,324,46.160561,13.348535,23.470316,-58.75
22,538,330,46.122963,14.058739,21.623466,-56.35
23,663,338,46.080699,14.767850,19.681818,-54.68
24,43,222,46.738506,11.243565,23.853506,-52.47
25,170,226,46.714724,11.963132,25.095135,-54.47
26,296,231,46.686201,12.681965,23.875877,-56.40
27,422,237,46.652946,13.399932,23.330372,-56.38
28,549,244,46.614967,14.116905,22.628260,-54.22
29,675,251,46.572277,14.832752,19.965746,-53.55
30,48,135,47.231974,11.275108,24.603537,-46.32
31,176,139,47.207951,12.001647,26.412567,-51.08
32,304,144,47.179138,12.727432,23.319206,-52.53
33,432,150,47.145545,13.452326,23.493519,-54.70
34,559,157,47.107182,14.176196,22.790751,-53.98
35,686,165,47.064059,14.898907,18.976147,-45.72
36,54,48,47.725632,11.307269,24.801712,-42.72
37,183,53,47.701364,12.040918,25.571177,-46.62
38,312,58,47.672259,12.773790,22.578587,-52.76
39,441,64,47.638324,13.505744,23.102257,-51.68
40,570,70,47.599571,14.236644,22.465466,-52.49
41,698,78,47.556010,14.966352,18.564507,-44.01
