vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,25.211781,29.79
1,144,573,44.744385,11.816203,29.273834,35.23
2,265,578,44.716986,12.508507,31.530775,36.65
3,387,583,44.685040,13.200039,32.356964,40.54
4,509,590,44.648555,13.890682,31.654129,39.83
5,630,597,44.607542,14.580319,28.191572,40.79
6,27,482,45.259591,11.152480,25.820679,27.80
7,150,486,45.236517,11.851905,26.117990,29.27
8,273,491,45.208842,12.550657,30.360790,33.67
9,396,497,45.176574,13.248614,33.916687,35.25
10,518,503,45.139723,13.945657,32.993050,36.86
11,641,511,45.098298,14.641667,31.083061,37.96
12,32,396,45.752281,11.182268,24.668518,27.37
13,156,400,45.728973,11.888281,24.946619,26.76
14,280,405,45.701019,12.593601,25.655420,30.12
15,404,410,45.668426,13.298104,30.343563,32.84
16,528,417,45.631204,14.001667,33.180222,32.06
17,652,424,45.589362,14.704167,30.342436,33.33
18,37,309,46.245263,11.212625,25.719793,29.49
19,163,313,46.221720,11.925350,23.333273,28.55
20,288,318,46.193484,12.637363,21.287766,26.30
21,413,324,46.160561,13.348535,24.606573,28.08
22,538,330,46.122963,14.058739,27.473152,31.24
23,663,338,46.080699,14.767850,30.074789,30.69
24,43,222,46.738506,11.243565,24.007978,32.28
25,170,226,46.714724,11.963132,23.021059,29.75
26,296,231,46.686201,12.681965,20.530203,27.86
27,422,237,46.652946,13.399932,19.019453,28.33
28,549,244,46.614967,14.116905,23.005161,30.93
29,675,251,46.572277,14.832752,28.233980,31.13
30,48,135,47.231974,11.275108,23.080278,25.96
31,176,139,47.207951,12.001647,22.123646,29.95
32,304,144,47.179138,12.727432,20.669081,27.74
33,432,150,47.145545,13.452326,18.333002,30.08
34,559,157,47.107182,14.176196,19.057638,32.40
35,686,165,47.064059,14.898907,21.460999,32.24
36,54,48,47.725632,11.307269,23.498613,31.59
37,183,53,47.701364,12.040918,22.373810,29.03
38,312,58,47.672259,12.773790,23.362591,30.64
39,441,64,47.638324,13.505744,20.390781,30.40
40,570,70,47.599571,14.236644,19.459686,30.82
41,698,78,47.556010,14.966352,19.364952,33.05
